orderno;custno;name;city;regioncode;mgr;salesrep;prodno;proddesc;catcode;dat;dayName;dayInWeek;dayInMonth;dayInYear;weekNo;monthName;monthNo;quarter;year;quantity;lineTotal
1001;15;Boer, de;Veghel;GVGH;Karel;Harrie;408;Soja Chocolademelk Biologisch;bio;2012-01-06 00:00:00.000;Fri;6;6;6;1;Jan;1;Q1;2012;9;146.25
1002;16;Velzenmaker;Eindhoven;REHV;Klaas;Harrie;407;Zwezerik;lux;2012-01-07 00:00:00.000;Sat;7;7;7;1;Jan;1;Q1;2012;6;77.70
1002;16;Velzenmaker;Eindhoven;REHV;Klaas;Harrie;410;Soja Vanillevla Biologisch;bio;2012-01-07 00:00:00.000;Sat;7;7;7;1;Jan;1;Q1;2012;15;315.00
1003;13;Heiden, van der;Helmond;RHMD;Gerda;Karel;401;Kaviaar;lux;2012-01-08 00:00:00.000;Sun;1;8;8;2;Jan;1;Q1;2012;18;387.00
1004;19;Zuur;Veghel;GVGH;Karel;Karel;406;Sojamelk Naturel Biologisch;bio;2012-01-14 00:00:00.000;Sat;7;14;14;2;Jan;1;Q1;2012;7;52.50
1005;17;Jansen;Helmond;RHMD;Gerda;Gerda;406;Sojamelk Naturel Biologisch;bio;2012-01-19 00:00:00.000;Thu;5;19;19;3;Jan;1;Q1;2012;19;142.50
1006;11;Jansen;Eindhoven;REHV;Klaas;Herman;411;Sojamelk Gezoet Biologisch;bio;2012-01-20 00:00:00.000;Fri;6;20;20;3;Jan;1;Q1;2012;21;418.95
1007;17;Jansen;Helmond;RHMD;Gerda;Klaas;401;Kaviaar;lux;2012-01-20 00:00:00.000;Fri;6;20;20;3;Jan;1;Q1;2012;16;344.00
1008;16;Velzenmaker;Eindhoven;REHV;Klaas;Herman;410;Soja Vanillevla Biologisch;bio;2012-01-21 00:00:00.000;Sat;7;21;21;3;Jan;1;Q1;2012;8;168.00
1009;16;Velzenmaker;Eindhoven;REHV;Klaas;Gerda;401;Kaviaar;lux;2012-01-22 00:00:00.000;Sun;1;22;22;4;Jan;1;Q1;2012;5;107.50
1009;16;Velzenmaker;Eindhoven;REHV;Klaas;Gerda;402;Ganzenlever;lux;2012-01-22 00:00:00.000;Sun;1;22;22;4;Jan;1;Q1;2012;20;779.00
1009;16;Velzenmaker;Eindhoven;REHV;Klaas;Gerda;408;Soja Chocolademelk Biologisch;bio;2012-01-22 00:00:00.000;Sun;1;22;22;4;Jan;1;Q1;2012;6;97.50
1010;12;Rademakers;Eindhoven;REHV;Klaas;Bertha;410;Soja Vanillevla Biologisch;bio;2012-01-22 00:00:00.000;Sun;1;22;22;4;Jan;1;Q1;2012;18;378.00
1011;12;Rademakers;Eindhoven;REHV;Klaas;Gerda;403;Vruchtenyoghurt Aardbei;zuv;2012-01-23 00:00:00.000;Mon;2;23;23;4;Jan;1;Q1;2012;14;227.50
1012;13;Heiden, van der;Helmond;RHMD;Gerda;Karel;402;Ganzenlever;lux;2012-01-25 00:00:00.000;Wed;4;25;25;4;Jan;1;Q1;2012;7;272.65
1013;18;Bocht;Laarbeek;RHMD;Gerda;Herman;411;Sojamelk Gezoet Biologisch;bio;2012-01-25 00:00:00.000;Wed;4;25;25;4;Jan;1;Q1;2012;9;179.55
1014;19;Zuur;Veghel;GVGH;Karel;Karel;401;Kaviaar;lux;2012-01-27 00:00:00.000;Fri;6;27;27;4;Jan;1;Q1;2012;22;473.00
1014;19;Zuur;Veghel;GVGH;Karel;Karel;405;Magere Kwark;zuv;2012-01-27 00:00:00.000;Fri;6;27;27;4;Jan;1;Q1;2012;9;80.55
1014;19;Zuur;Veghel;GVGH;Karel;Karel;409;Vruchtenyoghurt Mango;zuv;2012-01-27 00:00:00.000;Fri;6;27;27;4;Jan;1;Q1;2012;23;373.75
1015;11;Jansen;Eindhoven;REHV;Klaas;Gerda;410;Soja Vanillevla Biologisch;bio;2012-01-28 00:00:00.000;Sat;7;28;28;4;Jan;1;Q1;2012;9;189.00
1016;19;Zuur;Veghel;GVGH;Karel;Harrie;409;Vruchtenyoghurt Mango;zuv;2012-02-04 00:00:00.000;Sat;7;4;35;5;Feb;2;Q1;2012;6;97.50
1017;14;Kraymans;Erp;GVGH;Karel;Bertha;404;Volle Yoghurt;zuv;2012-02-04 00:00:00.000;Sat;7;4;35;5;Feb;2;Q1;2012;18;207.00
1017;14;Kraymans;Erp;GVGH;Karel;Bertha;405;Magere Kwark;zuv;2012-02-04 00:00:00.000;Sat;7;4;35;5;Feb;2;Q1;2012;14;125.30
1019;15;Boer, de;Veghel;GVGH;Karel;Harrie;409;Vruchtenyoghurt Mango;zuv;2012-02-05 00:00:00.000;Sun;1;5;36;6;Feb;2;Q1;2012;10;162.50
1018;11;Jansen;Eindhoven;REHV;Klaas;Herman;401;Kaviaar;lux;2012-02-05 00:00:00.000;Sun;1;5;36;6;Feb;2;Q1;2012;21;451.50
1020;16;Velzenmaker;Eindhoven;REHV;Klaas;Klaas;409;Vruchtenyoghurt Mango;zuv;2012-02-06 00:00:00.000;Mon;2;6;37;6;Feb;2;Q1;2012;11;178.75
1020;16;Velzenmaker;Eindhoven;REHV;Klaas;Klaas;411;Sojamelk Gezoet Biologisch;bio;2012-02-06 00:00:00.000;Mon;2;6;37;6;Feb;2;Q1;2012;20;399.00
1021;11;Jansen;Eindhoven;REHV;Klaas;Harrie;408;Soja Chocolademelk Biologisch;bio;2012-02-06 00:00:00.000;Mon;2;6;37;6;Feb;2;Q1;2012;7;113.75
1022;17;Jansen;Helmond;RHMD;Gerda;Klaas;404;Volle Yoghurt;zuv;2012-02-07 00:00:00.000;Tue;3;7;38;6;Feb;2;Q1;2012;17;195.50
1023;19;Zuur;Veghel;GVGH;Karel;Herman;401;Kaviaar;lux;2012-02-10 00:00:00.000;Fri;6;10;41;6;Feb;2;Q1;2012;8;172.00
1024;11;Jansen;Eindhoven;REHV;Klaas;Klaas;410;Soja Vanillevla Biologisch;bio;2012-02-11 00:00:00.000;Sat;7;11;42;6;Feb;2;Q1;2012;17;357.00
1025;11;Jansen;Eindhoven;REHV;Klaas;Bertha;410;Soja Vanillevla Biologisch;bio;2012-02-12 00:00:00.000;Sun;1;12;43;7;Feb;2;Q1;2012;5;105.00
1026;17;Jansen;Helmond;RHMD;Gerda;Harrie;402;Ganzenlever;lux;2012-02-12 00:00:00.000;Sun;1;12;43;7;Feb;2;Q1;2012;6;233.70
1027;14;Kraymans;Erp;GVGH;Karel;Karel;409;Vruchtenyoghurt Mango;zuv;2012-02-15 00:00:00.000;Wed;4;15;46;7;Feb;2;Q1;2012;21;341.25
1028;16;Velzenmaker;Eindhoven;REHV;Klaas;Bertha;405;Magere Kwark;zuv;2012-02-17 00:00:00.000;Fri;6;17;48;7;Feb;2;Q1;2012;11;98.45
1029;13;Heiden, van der;Helmond;RHMD;Gerda;Karel;401;Kaviaar;lux;2012-02-17 00:00:00.000;Fri;6;17;48;7;Feb;2;Q1;2012;18;387.00
1030;13;Heiden, van der;Helmond;RHMD;Gerda;Karel;411;Sojamelk Gezoet Biologisch;bio;2012-02-18 00:00:00.000;Sat;7;18;49;7;Feb;2;Q1;2012;8;159.60
1031;15;Boer, de;Veghel;GVGH;Karel;Harrie;401;Kaviaar;lux;2012-02-27 00:00:00.000;Mon;2;27;58;9;Feb;2;Q1;2012;11;236.50
1031;15;Boer, de;Veghel;GVGH;Karel;Harrie;404;Volle Yoghurt;zuv;2012-02-27 00:00:00.000;Mon;2;27;58;9;Feb;2;Q1;2012;18;207.00
1031;15;Boer, de;Veghel;GVGH;Karel;Harrie;409;Vruchtenyoghurt Mango;zuv;2012-02-27 00:00:00.000;Mon;2;27;58;9;Feb;2;Q1;2012;21;341.25
1032;11;Jansen;Eindhoven;REHV;Klaas;Gerda;405;Magere Kwark;zuv;2012-03-03 00:00:00.000;Sat;7;3;63;9;Mar;3;Q1;2012;7;62.65
1032;11;Jansen;Eindhoven;REHV;Klaas;Gerda;411;Sojamelk Gezoet Biologisch;bio;2012-03-03 00:00:00.000;Sat;7;3;63;9;Mar;3;Q1;2012;16;319.20
1033;12;Rademakers;Eindhoven;REHV;Klaas;Klaas;406;Sojamelk Naturel Biologisch;bio;2012-03-04 00:00:00.000;Sun;1;4;64;10;Mar;3;Q1;2012;6;45.00
1034;11;Jansen;Eindhoven;REHV;Klaas;Karel;406;Sojamelk Naturel Biologisch;bio;2012-03-05 00:00:00.000;Mon;2;5;65;10;Mar;3;Q1;2012;8;60.00
1035;15;Boer, de;Veghel;GVGH;Karel;Bertha;410;Soja Vanillevla Biologisch;bio;2012-03-06 00:00:00.000;Tue;3;6;66;10;Mar;3;Q1;2012;14;294.00
1036;14;Kraymans;Erp;GVGH;Karel;Bertha;402;Ganzenlever;lux;2012-03-09 00:00:00.000;Fri;6;9;69;10;Mar;3;Q1;2012;16;623.20
1037;15;Boer, de;Veghel;GVGH;Karel;Klaas;410;Soja Vanillevla Biologisch;bio;2012-03-09 00:00:00.000;Fri;6;9;69;10;Mar;3;Q1;2012;9;189.00
1038;12;Rademakers;Eindhoven;REHV;Klaas;Gerda;404;Volle Yoghurt;zuv;2012-03-11 00:00:00.000;Sun;1;11;71;11;Mar;3;Q1;2012;24;276.00
1039;11;Jansen;Eindhoven;REHV;Klaas;Gerda;402;Ganzenlever;lux;2012-03-14 00:00:00.000;Wed;4;14;74;11;Mar;3;Q1;2012;21;817.95
1039;11;Jansen;Eindhoven;REHV;Klaas;Gerda;407;Zwezerik;lux;2012-03-14 00:00:00.000;Wed;4;14;74;11;Mar;3;Q1;2012;9;116.55
1039;11;Jansen;Eindhoven;REHV;Klaas;Gerda;409;Vruchtenyoghurt Mango;zuv;2012-03-14 00:00:00.000;Wed;4;14;74;11;Mar;3;Q1;2012;8;130.00
1039;11;Jansen;Eindhoven;REHV;Klaas;Gerda;411;Sojamelk Gezoet Biologisch;bio;2012-03-14 00:00:00.000;Wed;4;14;74;11;Mar;3;Q1;2012;24;478.80
1040;20;Bakermans;Waalre;REHV;Klaas;Bertha;410;Soja Vanillevla Biologisch;bio;2012-03-15 00:00:00.000;Thu;5;15;75;11;Mar;3;Q1;2012;5;105.00
1041;17;Jansen;Helmond;RHMD;Gerda;Karel;409;Vruchtenyoghurt Mango;zuv;2012-03-17 00:00:00.000;Sat;7;17;77;11;Mar;3;Q1;2012;15;243.75
1042;18;Bocht;Laarbeek;RHMD;Gerda;Klaas;411;Sojamelk Gezoet Biologisch;bio;2012-03-17 00:00:00.000;Sat;7;17;77;11;Mar;3;Q1;2012;9;179.55
1043;16;Velzenmaker;Eindhoven;REHV;Klaas;Gerda;411;Sojamelk Gezoet Biologisch;bio;2012-03-18 00:00:00.000;Sun;1;18;78;12;Mar;3;Q1;2012;6;119.70
1045;14;Kraymans;Erp;GVGH;Karel;Herman;408;Soja Chocolademelk Biologisch;bio;2012-03-20 00:00:00.000;Tue;3;20;80;12;Mar;3;Q1;2012;11;178.75
